Indicator,Country,Gender,Year,Val
"(EU) Life expectancy at birth, years",Macedonia,combined,2011,75.0
"(EU) Life expectancy at birth, years",Macedonia,combined,2012,75.0
"(EU) Life expectancy at birth, years",Macedonia,combined,2013,76.0
"(EU) Life expectancy at birth, years",Macedonia,combined,2014,76.0
"(EU) Life expectancy at birth, years",Macedonia,combined,2015,76.0
"(EU) Life expectancy at birth, years",Macedonia,combined,2016,75.0
(EU) Live births / 1000 persons,Macedonia,combined,2010,12.0
(EU) Live births / 1000 persons,Macedonia,combined,2011,11.0
(EU) Live births / 1000 persons,Macedonia,combined,2012,11.0
(EU) Live births / 1000 persons,Macedonia,combined,2013,11.0
(EU) Live births / 1000 persons,Macedonia,combined,2014,11.0
(EU) Live births / 1000 persons,Macedonia,combined,2015,11.0
(EU) Live births / 1000 persons,Macedonia,combined,2016,11.0
(EU) Live births / 1000 persons,Macedonia,combined,2017,10.0
(EU) Long-term unemployment rate,Macedonia,male,2008,28.8
(EU) Long-term unemployment rate,Macedonia,male,2009,26.2
(EU) Long-term unemployment rate,Macedonia,male,2010,26.7
(EU) Long-term unemployment rate,Macedonia,male,2011,26.6
(EU) Long-term unemployment rate,Macedonia,male,2012,26.1
(EU) Long-term unemployment rate,Macedonia,male,2013,23.9
(EU) Long-term unemployment rate,Macedonia,male,2014,23.0
(EU) Long-term unemployment rate,Macedonia,male,2015,22.1
(EU) Long-term unemployment rate,Macedonia,male,2016,19.9
(EU) Long-term unemployment rate,Macedonia,male,2017,17.6
(EU) Long-term unemployment rate,Macedonia,male,2018,15.7
(EU) Long-term unemployment rate,Macedonia,male,2019,12.4
(EU) Long-term unemployment rate,Macedonia,female,2008,28.4
(EU) Long-term unemployment rate,Macedonia,female,2009,26.5
(EU) Long-term unemployment rate,Macedonia,female,2010,26.6
(EU) Long-term unemployment rate,Macedonia,female,2011,24.9
(EU) Long-term unemployment rate,Macedonia,female,2012,24.5
(EU) Long-term unemployment rate,Macedonia,female,2013,23.8
(EU) Long-term unemployment rate,Macedonia,female,2014,23.8
(EU) Long-term unemployment rate,Macedonia,female,2015,20.1
(EU) Long-term unemployment rate,Macedonia,female,2016,17.8
(EU) Long-term unemployment rate,Macedonia,female,2017,17.1
(EU) Long-term unemployment rate,Macedonia,female,2018,15.1
(EU) Long-term unemployment rate,Macedonia,female,2019,12.4
(EU) Old age dependency ratio,Macedonia,combined,2010,16.4
(EU) Old age dependency ratio,Macedonia,combined,2011,16.5
(EU) Old age dependency ratio,Macedonia,combined,2012,16.6
(EU) Old age dependency ratio,Macedonia,combined,2013,16.9
(EU) Old age dependency ratio,Macedonia,combined,2014,17.5
(EU) Old age dependency ratio,Macedonia,combined,2015,18.0
(EU) Old age dependency ratio,Macedonia,combined,2016,18.5
(EU) Old age dependency ratio,Macedonia,combined,2017,18.9
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2008,18.5
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2009,18.1
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2010,17.7
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2011,17.5
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2012,17.2
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2013,17.0
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2014,16.9
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2015,16.8
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2016,16.7
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2017,16.6
(EU) Population aged 0-14 as % of total population,Macedonia,combined,2018,16.5
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2008,15.9
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2009,15.7
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2010,15.5
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2011,15.2
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2012,15.0
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2013,14.6
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2014,14.2
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2015,13.8
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2016,13.5
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2017,13.1
(EU) Population aged 15-24 as % of total population,Macedonia,combined,2018,12.7
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2008,37.0
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2009,37.1
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2010,37.1
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2011,37.2
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2012,37.2
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2013,37.4
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2014,37.5
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2015,37.4
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2016,37.4
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2017,37.5
(EU) Population aged 25-49 as % of total population,Macedonia,combined,2018,37.5
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2008,17.3
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2009,17.6
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2010,18.0
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2011,18.4
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2012,18.8
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2013,19.0
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2014,19.1
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2015,19.3
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2016,19.4
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2017,19.6
(EU) Population aged 50-64 as % of total population,Macedonia,combined,2018,19.7
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2008,11.4
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2009,11.5
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2010,11.6
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2011,11.7
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2012,11.8
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2013,12.0
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2014,12.4
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2015,12.7
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2016,13.0
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2017,13.3
(EU) Population aged 65 years and over as % of total population,Macedonia,combined,2018,13.7
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2008,9.7
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2009,9.8
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2010,9.8
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2011,9.8
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2012,9.8
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2013,10.0
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2014,10.2
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2015,10.4
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2016,10.7
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2017,10.8
(EU) Population aged 65-79 as % of total population,Macedonia,combined,2018,11.2
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2008,1.7
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2009,1.7
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2010,1.8
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2011,1.9
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2012,1.9
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2013,2.0
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2014,2.1
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2015,2.2
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2016,2.3
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2017,2.4
(EU) Population aged 80 years and over as % of total population,Macedonia,combined,2018,2.5
(EU) Population at 1.1.,Macedonia,male,2008,1025239.0
(EU) Population at 1.1.,Macedonia,male,2009,1026804.0
(EU) Population at 1.1.,Macedonia,male,2010,1028815.0
(EU) Population at 1.1.,Macedonia,male,2011,1030880.0
(EU) Population at 1.1.,Macedonia,male,2012,1031926.0
(EU) Population at 1.1.,Macedonia,male,2013,1033138.0
(EU) Population at 1.1.,Macedonia,male,2014,1034841.0
(EU) Population at 1.1.,Macedonia,male,2015,1036518.0
(EU) Population at 1.1.,Macedonia,male,2016,1037601.0
(EU) Population at 1.1.,Macedonia,male,2017,1038613.0
(EU) Population at 1.1.,Macedonia,male,2018,1039283.0
(EU) Population at 1.1.,Macedonia,female,2008,1019938.0
(EU) Population at 1.1.,Macedonia,female,2009,1021815.0
(EU) Population at 1.1.,Macedonia,female,2010,1023907.0
(EU) Population at 1.1.,Macedonia,female,2011,1026404.0
(EU) Population at 1.1.,Macedonia,female,2012,1027868.0
(EU) Population at 1.1.,Macedonia,female,2013,1029156.0
(EU) Population at 1.1.,Macedonia,female,2014,1030928.0
(EU) Population at 1.1.,Macedonia,female,2015,1032654.0
(EU) Population at 1.1.,Macedonia,female,2016,1033677.0
(EU) Population at 1.1.,Macedonia,female,2017,1035089.0
(EU) Population at 1.1.,Macedonia,female,2018,1036018.0
(EU) Population at 1.1.,Macedonia,combined,2008,2045177.0
(EU) Population at 1.1.,Macedonia,combined,2009,2048619.0
(EU) Population at 1.1.,Macedonia,combined,2010,2052722.0
(EU) Population at 1.1.,Macedonia,combined,2011,2057284.0
(EU) Population at 1.1.,Macedonia,combined,2012,2059794.0
(EU) Population at 1.1.,Macedonia,combined,2013,2062294.0
(EU) Population at 1.1.,Macedonia,combined,2014,2065769.0
(EU) Population at 1.1.,Macedonia,combined,2015,2069172.0
(EU) Population at 1.1.,Macedonia,combined,2016,2071278.0
(EU) Population at 1.1.,Macedonia,combined,2017,2073702.0
(EU) Population at 1.1.,Macedonia,combined,2018,2075301.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Macedonia,male,2008,407.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Macedonia,male,2009,415.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Macedonia,male,2010,399.9
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Macedonia,female,2008,229.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Macedonia,female,2009,221.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Macedonia,female,2010,216.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Macedonia,combined,2008,317.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Macedonia,combined,2009,317.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Macedonia,combined,2010,307.0
"(EU) Standard death rates, all causes of death per 100 000",Macedonia,male,2008,2053.0
"(EU) Standard death rates, all causes of death per 100 000",Macedonia,male,2009,2004.0
"(EU) Standard death rates, all causes of death per 100 000",Macedonia,male,2010,2014.0
"(EU) Standard death rates, all causes of death per 100 000",Macedonia,female,2008,1602.0
"(EU) Standard death rates, all causes of death per 100 000",Macedonia,female,2009,1566.0
"(EU) Standard death rates, all causes of death per 100 000",Macedonia,female,2010,1509.0
"(EU) Standard death rates, all causes of death per 100 000",Macedonia,combined,2008,1806.0
"(EU) Standard death rates, all causes of death per 100 000",Macedonia,combined,2009,1766.0
"(EU) Standard death rates, all causes of death per 100 000",Macedonia,combined,2010,1734.0
(EU) Standardised death rate due to cancer per 100 000 persons,Macedonia,male,2008,345.3
(EU) Standardised death rate due to cancer per 100 000 persons,Macedonia,male,2009,352.6
(EU) Standardised death rate due to cancer per 100 000 persons,Macedonia,male,2010,344.1
(EU) Standardised death rate due to cancer per 100 000 persons,Macedonia,female,2008,188.9
(EU) Standardised death rate due to cancer per 100 000 persons,Macedonia,female,2009,191.8
(EU) Standardised death rate due to cancer per 100 000 persons,Macedonia,female,2010,192.4
